S.No.,Code,Name,,,,,,,,,,Main City,State,,Rank,,,,,,,,,,,,,,,
72,IR-E-U-0460,"Karunya Institute of Technology and SciencesMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Coimbatore,Tamil Nadu,39.37,72,,55.46,18.11,,49.4,,55.47,,18.72,,,,,,
73,IR-E-U-0099,"Guru Gobind Singh Indraprastha UniversityMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,New Delhi,Delhi,39.21,73,,49.91,30.6,,50.2,,46.25,,3.95,,,,,,
74,IR-E-U-0092,"National Institute of Technology RaipurMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Raipur,Chhattisgarh,39.09,74,,56.46,20.11,,54.48,,49.4,,2.81,,,,,,
75,IR-E-U-0286,"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) JabalpurMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Jabalpur,Madhya Pradesh,38.94,75,,44.76,28.02,,60.95,,45.9,,3.19,,,,,,
76,IR-E-C-6581,"Pondicherry Engineering CollegeMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Puducherry,Pondicherry,38.56,76,,59.92,18.37,,46.02,,44.74,,13.96,,,,,,
77,IR-E-C-36926,"Kumaraguru College of TechnologyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Coimbatore,Tamil Nadu,38.55,77,,61.09,8.59,,57.4,,45.64,,15.99,,,,,,
78,IR-E-U-0080,"PEC University of TechnologyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Chandigarh,Chandigarh,38.42,78,,49.83,12.62,,61.98,,56.49,,16.27,,,,,,
79,IR-E-C-1297,"Siddaganga Institute of TechnologyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Tumkur,Karnataka,37.98,79,,60.4,11.37,,56.07,,50.84,,1.63,,,,,,
80,IR-E-U-0522,"Jaypee Institute of Information TechnologyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Noida,Uttar Pradesh,37.87,80,,47.52,18.18,,56,,53.57,,15.99,,,,,,
81,IR-E-U-0267,"Atal Bihari Vajpayee Indian Institute of Information Technology and ManagementMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Gwalior,Madhya Pradesh,37.82,81,,46.9,20.12,,58.51,,56.86,,3.19,,,,,,
82,IR-E-U-0516,"Indian Institute of Information Technology AllahabadMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Allahabad,Uttar Pradesh,37.74,82,,42.66,16.38,,68.86,,45.45,,17.1,,,,,,
83,IR-E-C-27616,"University College of EngineeringMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Hyderabad,Telangana,37.68,83,,60.92,3.78,,65.43,,50.24,,1.63,,,,,,
84,IR-E-U-0507,"Dayalbagh Educational InstituteMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Agra,Uttar Pradesh,37.59,84,,60.92,6.98,,53.07,,51.8,,14.26,,,,,,
85,IR-E-U-0201,"Shri Mata Vaishno Devi UniversityMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Katra,Jammu and Kashmir,37.32,85,,64.84,15.99,,45.8,,37.52,,1.63,,,,,,
86,IR-E-U-0489,"Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and TechnologyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Chennai,Tamil Nadu,37.22,86,,53.49,25.53,,37.45,,57.83,,2.41,,,,,,
87,IR-E-U-0620,"National Institute of Technology GoaMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Ponda,Goa,37.06,87,,59.23,12.79,,50.17,,48.37,,5.8,,,,,,
88,IR-E-C-27058,"Mepco Schlenk Engineering CollegeMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Sivakasi,Tamil Nadu,36.92,88,,51.38,16.75,,51.01,,48.21,,14.55,,,,,,
89,IR-E-U-0037,"Sri Venkateswara UniversityMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Tirupati,Andhra Pradesh,36.66,89,,47.38,29.9,,43.2,,45.19,,3.19,,,,,,
90,IR-E-C-36975,"Government College of TechnologyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Coimbatore,Tamil Nadu,36.42,90,,52.33,8.3,,51.77,,51.89,,26.87,,,,,,
