S.No.,Name,Main City,State,Rank
198,"Dr. D. Y. Patil Educational Academy`s Dr. D. Y. Patil Institute of Engineering and Technology",Pune,Maharashtra
199,"Dr. D. Y. Patil Educational Enterprises Charitable Trust`s Dr. D. Y. Patil Group of Institutions Dr. D. Y. Patil School of Engineering",Pune,Maharashtra
200,"Dr. D. Y. Patil Educational Enterprises Charitable Trust`s Dr. D. Y. Patil Group of Institutions Dr. D. Y. Patil School of Engineering and Technology",Pune,Maharashtra
201,"Dr. D. Y. Patil Pratishthan Kolhapur Padmashree Dr. D. Y. Patil Institute of Engineering, Management and Research",Pune,Maharashtra
202,"Dr. D. Y. Patil Vidya Pratishthan Society Dr. D. Y. Patil Institute of Engineering & Technology",Pune,Maharashtra
203,"Dr. K. V. Subba Reddy Institute of Technology",Kurnool,Andhra Pradesh
204,"Dr. Lankapalli Bullayya College of Engineering (For Women)",Visakhapatnam,Andhra Pradesh
205,"Dr. Mahalingam College of Engineering and Technology",Pollachi,Tamil Nadu,184
206,"Dr. N. G. P. Institute of Technology",Coimbatore,Tamil Nadu
207,"Dr. S. & S. S. Ghandhy Government Engineering College, Surat.",Surat,Gujarat
208,"DR. SUDHIR CHANDRA SUR DEGREE ENGINEERING COLLEGE",Kolkata,West Bengal
209,"DR. V. R. GODHANIA COLLEGE OFENGINEERING & TECHNOLOGY",Porbandar,Gujarat
210,"Dr. Vishwanath Karad MIT World Peace University",Pune,Maharashtra,154
211,"Dream Institute of Technology",Kolkata,West Bengal
212,"DRIEMS",CUTTACK,Odisha
213,"Dronacharya College of Engineering",Gurgaon,Haryana
214,"Dronacharya Group of Institutions",Greater Noida,Uttar Pradesh
215,"Durgapur Institute of Advanced Technology and Management 155",Barddhaman,West Bengal
216,"E. G. S. Pillay Engineering College",Nagapattinam,Tamil Nadu
217,"East West Institute of Technology",Bengaluru,Karnataka
218,"Easwari Engineering College",Chennai,Tamil Nadu,200
219,"Electronic Science Department",Kurukshetra,Haryana
220,"Er. Perumal Manimekalai College of Engineering",Krishnagiri,Tamil Nadu
221,"Erode Sengunthar Engineering College",Erode,Tamil Nadu
222,"Excel Engineering College",Namakkal,Tamil Nadu
223,"FACULTY OF ENGG., MARWADI EDU. FOUNDATION GROUP OF INSTITUTIONS, RAJKOT 057",Rajkot,Gujarat
224,"Feroze Gandhi Institute of Engg. & Technology",Rae bareli,Uttar Pradesh
225,"Finolex Academy of Management and Technology",Ratnagiri,Maharashtra
226,"Fr. C. Rodrigues Institute of Technology,Vashi",Navi Mumbai,Maharashtra
227,"Fr. Conceicao Rodrigues College of Engineering",Mumbai,Maharashtra
228,"FRANCIS XAVIER ENGINEERING COLLEGE",Tirunelveli,Tamil Nadu
229,"Future Institute of Engineering and Management",Kolkata,West Bengal
230,"G M Institute of Technology, DAVANGERE",Davanagere,Karnataka
231,"G. B. Pant Govt. Engineering College",Delhi,Delhi
232,"G. B. Pant Universtiy of Agriculture and Technology",Pantnagar,Uttarakhand,141
233,"G. D. Goenka University",Gurgaon,Haryana
234,"G. H. Patel College of Engg. & Tech.",Vallabh Vidyanagar,Gujarat
235,"G. H. Raisoni College of Engineering",Nagpur,Maharashtra,111
236,"G. H. Raisoni College of Engineering & Management",Pune,Maharashtra
237,"G. H. Raisoni Institute of Engineering & Management",Jalgaon,Maharashtra
238,"G. H. Raisoni Institute of Engineering & Technology",Pune,Maharashtra
239,"G. H. Raisoni Institute of Engineering & Technology",Nagpur,Maharashtra
240,"G. I. D. C. Degree Enginering College",Abrama,Gujarat
241,"G. K. M. College of Engineering and Technology",Chennai,Tamil Nadu
242,"G. L. A. University",Mathura,Uttar Pradesh
243,"G. L. Bajaj Institute of Technology and Management",Greater Noida,Uttar Pradesh
244,"G. M. R. Institute of Technology",Rajam,Andhra Pradesh
245,"G. Madegowda Institute of Technology",Mandya,Karnataka
246,"G. Narayanamma Institute of Technology & Science for Women",Hyderabad,Telangana
247,"G. Pulla Reddy Engineering College",Kurnool,Andhra Pradesh,177
248,"G. Pullaiah College of Engineering and Technology",Kurnool,Andhra Pradesh
